name,copper,fiber,zinc,vitamin b12,niacin,choline,energy,fat,carbohydrate,vitamin a,vitamin e,vitamin d,vitamin k,protein,phosphorus,"sugars, added",vitamin c,sodium,selenium,thiamin,manganese,folate,omega 6,calcium,riboflavin,vitamin b6,magnesium,iron,cholesterol,phytosterols,pantothenic acid,fluoride,potassium,fatty acids,omega 3
"Cheese, mozzarella, whole milk",0.00011,0.0,0.0292,0.0228,0.00104,0.154,3.0,0.2235,0.0219,1.79,0.0019,0.004,0.023,0.2217,3.54,0.0103,0.0,6.27,0.17,0.0003,0.0003,0.07,0.00393,5.05,0.00283,0.00037,0.2,0.0044,0.79,0.0,0.00141,0.0,0.76,0.13152,0.0
"Cheese, parmesan, hard",0.00032,0.0,0.0275,0.012,0.00271,0.154,3.92,0.2583,0.0322,2.07,0.0022,0.005,0.017,0.3575,6.94,0.008,0.0,13.76,0.225,0.00039,0.0002,0.07,0.00272,11.84,0.00332,0.00091,0.44,0.0082,0.68,0.0,0.00453,0.0,0.92,0.1641,0.0
"Milk, whole, 3.25% milkfat, with added vitamin D",0.00025,0.0,0.0037,0.0045,0.00089,0.143,0.61,0.0325,0.048,0.46,0.0007,0.013,0.003,0.0315,0.84,0.0505,0.0,0.43,0.037,0.00046,4e-05,0.05,0.0012,1.13,0.00169,0.00036,0.1,0.0003,0.1,0.0,0.00373,0.0,1.32,0.01865,0.0
"Yogurt, plain, whole milk, 8 grams protein per 8 ounce",9e-05,0.0,0.0059,0.0037,0.00075,0.152,0.61,0.0325,0.0466,0.27,0.0006,0.001,0.002,0.0347,0.95,0.0466,0.005,0.46,0.022,0.00029,4e-05,0.07,0.00065,1.21,0.00142,0.00032,0.12,0.0005,0.13,0.0,0.00389,0.12,1.55,0.02096,0.0
"Egg, whole, cooked, hard-boiled",0.00013,0.0,0.0105,0.0111,0.00064,2.938,1.55,0.1061,0.0112,1.49,0.0103,0.022,0.003,0.1258,1.72,0.0112,0.0,1.24,0.308,0.00066,0.00026,0.44,0.01188,0.5,0.00513,0.00121,0.1,0.0119,3.73,0.0,0.01398,0.048,1.26,0.03267,0.0
Dulce de Leche,4e-05,0.0,0.0079,0.0031,0.0021,0.891,3.15,0.0735,0.5535,0.74,0.002,0.002,0.013,0.0684,1.93,0.4974,0.026,1.29,0.027,0.00016,2e-05,0.11,0.00288,2.51,0.00405,0.00016,0.22,0.0017,0.29,0.0,0.00835,0.0,3.5,0.04898,0.0005
"Spices, turmeric, ground",0.013,0.227,0.045,0.0,0.0135,0.492,3.12,0.0325,0.6714,0.0,0.0443,0.0,0.134,0.0968,2.99,0.0321,0.007,0.27,0.062,0.00058,0.198,0.2,0.00672,1.68,0.0015,0.00107,2.08,0.55,0.0,0.0,0.00542,0.0,20.8,0.01894,3e-05
"Oil, olive, salad or cooking",0.0,0.0,0.0,0.0,0.0,0.003,8.84,1.0,0.0,0.0,0.1435,0.0,0.602,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.09762,0.01,0.0,0.0,0.0,0.0056,0.0,2.21,0.0,0.0,0.01,0.13808,0.0
"Chicken breast, oven-roasted, fat-free, sliced",0.00034,0.0,0.003,0.0009,0.03428,0.0,0.79,0.0039,0.0217,0.0,0.0,0.0,0.0,0.1679,0.6,0.001,0.0,10.87,0.076,0.00018,0.00043,0.01,0.0006,0.06,0.00029,0.0015,0.09,0.0032,0.36,0.0,0.00241,0.0,0.67,0.0013,0.0
"Apples, raw, with skin",0.00027,0.024,0.0004,0.0,0.00091,0.034,0.52,0.0017,0.1381,0.03,0.0018,0.0,0.022,0.0026,0.11,0.1039,0.046,0.01,0.0,0.00017,0.00035,0.03,0.00043,0.06,0.00026,0.00041,0.05,0.0012,0.0,0.12,0.00061,0.033,1.07,0.00028,0.0
"Avocados, raw, all commercial varieties",0.0019,0.067,0.0064,0.0,0.01738,0.142,1.6,0.1466,0.0853,0.07,0.0207,0.0,0.21,0.02,0.52,0.0066,0.1,0.07,0.004,0.00067,0.00142,0.81,0.01674,0.12,0.0013,0.00257,0.29,0.0055,0.0,0.0,0.01389,0.07,4.85,0.02126,0.00111
"Bananas, raw",0.00078,0.026,0.0015,0.0,0.00665,0.098,0.89,0.0033,0.2284,0.03,0.001,0.0,0.005,0.0109,0.22,0.1223,0.087,0.01,0.01,0.00031,0.0027,0.2,0.00046,0.05,0.00073,0.00367,0.27,0.0026,0.0,0.16,0.00334,0.022,3.58,0.00112,0.0
"Grapes, red or green (European type, such as Thompson seedless), raw",0.00127,0.009,0.0007,0.0,0.00188,0.056,0.69,0.0016,0.181,0.03,0.0019,0.0,0.146,0.0072,0.2,0.1548,0.032,0.02,0.001,0.00069,0.00071,0.02,0.00037,0.1,0.0007,0.00086,0.07,0.0036,0.0,0.04,0.0005,0.078,1.91,0.00054,0.0
"Kiwifruit, green, raw",0.0013,0.03,0.0014,0.0,0.00341,0.078,0.61,0.0052,0.1466,0.04,0.0146,0.0,0.403,0.0114,0.34,0.0899,0.927,0.03,0.002,0.00027,0.00098,0.25,0.00246,0.34,0.00025,0.00063,0.17,0.0031,0.0,0.0,0.00183,0.0,3.12,0.00029,0.0
"Oranges, raw, all commercial varieties",0.00045,0.024,0.0007,0.0,0.00282,0.084,0.47,0.0012,0.1175,0.11,0.0018,0.0,0.0,0.0094,0.14,0.0935,0.532,0.0,0.005,0.00087,0.00025,0.3,0.00018,0.4,0.0004,0.0006,0.1,0.001,0.0,0.0,0.0025,0.0,1.81,0.00015,0.0
"Pork, fresh, loin, whole, separable lean and fat, cooked, roasted",0.00056,0.0,0.0232,0.0071,0.05572,0.931,2.48,0.1465,0.0,0.03,0.0019,0.01,0.0,0.2709,2.42,0.0,0.006,0.59,0.334,0.00988,0.00011,0.06,0.0107,0.19,0.00313,0.00516,0.26,0.0099,0.82,0.0,0.0076,0.0,4.08,0.0537,0.0
